                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.43224,                0.38618,                0.42826,                0.96476,                 0.9231,                0.20968,                0.19344,                0.18396,                 0.9231,                0.20968,                0.19344,                0.18092,                    nan,                0.80273,                    nan,                    nan,              0.0013466,              0.0013466,              0.0013466
                     69,                0.47712,                0.45311,                0.45576,                0.99392,                0.92383,                0.20968,                0.19251,                0.17772,                0.92383,                0.20968,                0.19251,                0.18085,                    nan,                0.46348,                    nan,                    nan,              0.0013367,              0.0013367,              0.0013367
                     70,                 0.4904,                0.45216,                 0.4468,                0.99526,                0.92344,                0.20968,                0.19504,                0.18448,                0.92344,                0.20968,                0.19504,                0.18721,                    nan,                0.41929,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     71,                0.46053,                0.45311,                0.46217,                0.98649,                0.92385,                0.20968,                0.19862,                0.18717,                0.92385,                0.20968,                0.19862,                0.19081,                    nan,                0.45757,                    nan,                    nan,              0.0013169,              0.0013169,              0.0013169
                     72,                0.47784,                0.49674,                0.46182,                0.96784,                 0.9244,                0.20968,                0.19666,                0.17986,                 0.9244,                0.20968,                0.19666,                0.18506,                    nan,                0.57994,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     73,                0.46115,                0.42923,                0.42878,                0.99891,                0.92103,                0.20968,                 0.1959,                0.18805,                0.92103,                0.20968,                 0.1959,                0.18962,                    nan,                0.56619,                    nan,                    nan,              0.0012971,              0.0012971,              0.0012971
                     74,                0.46481,                 0.4156,                0.42108,                 0.9755,                0.91592,                0.20968,                0.19453,                0.18919,                0.91592,                0.20968,                0.19453,                0.18983,                    nan,                0.46224,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     75,                0.45517,                 0.3686,                0.45255,                0.99057,                0.91639,                0.20968,                0.19574,                0.18532,                0.91639,                0.20968,                0.19574,                0.18927,                    nan,                0.43387,                    nan,                    nan,              0.0012773,              0.0012773,              0.0012773
                     76,                0.46025,                 0.3993,                0.42777,                 0.9601,                0.92243,                0.20968,                0.21115,                0.19788,                0.92243,                0.20968,                0.21115,                0.20953,                    nan,                0.42463,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     77,                 0.4054,                0.33708,                0.42869,                0.94668,                0.92223,                0.20968,                0.21267,                0.20542,                0.92223,                0.20968,                0.21267,                0.20894,                    nan,                0.46175,                    nan,                    nan,              0.0012575,              0.0012575,              0.0012575
